dataset,nodes,edges,threads,iterations,rep,time,last_diff
web-Stanford,281903,2312497,1,91,1,0.545067,8.608937e-09
web-Stanford,281903,2312497,1,91,2,0.598201,8.608937e-09
web-Stanford,281903,2312497,1,91,3,0.571192,8.608937e-09
web-Stanford,281903,2312497,1,91,4,0.520198,8.608937e-09
web-Stanford,281903,2312497,1,91,5,0.537986,8.608937e-09
web-Stanford,281903,2312497,2,91,1,0.358354,8.608937e-09
web-Stanford,281903,2312497,2,91,2,0.380878,8.608937e-09
web-Stanford,281903,2312497,2,91,3,0.377631,8.608937e-09
web-Stanford,281903,2312497,2,91,4,0.379157,8.608937e-09
web-Stanford,281903,2312497,2,91,5,0.373946,8.608937e-09
web-Stanford,281903,2312497,4,91,1,0.283997,8.608937e-09
web-Stanford,281903,2312497,4,91,2,0.390599,8.608937e-09
web-Stanford,281903,2312497,4,91,3,0.334330,8.608937e-09
web-Stanford,281903,2312497,4,91,4,0.341643,8.608937e-09
web-Stanford,281903,2312497,4,91,5,0.299462,8.608937e-09
web-Stanford,281903,2312497,8,91,1,0.251898,8.608937e-09
web-Stanford,281903,2312497,8,91,2,0.238681,8.608937e-09
web-Stanford,281903,2312497,8,91,3,0.253928,8.608937e-09
web-Stanford,281903,2312497,8,91,4,0.278306,8.608937e-09
web-Stanford,281903,2312497,8,91,5,0.248331,8.608937e-09
web-Google,875713,5105039,1,90,1,2.424992,8.870336e-09
web-Google,875713,5105039,1,90,2,2.443916,8.870336e-09
web-Google,875713,5105039,1,90,3,2.444490,8.870336e-09
web-Google,875713,5105039,1,90,4,2.624311,8.870336e-09
web-Google,875713,5105039,1,90,5,2.444907,8.870336e-09
web-Google,875713,5105039,2,90,1,1.919005,8.870331e-09
web-Google,875713,5105039,2,90,2,2.032261,8.870331e-09
web-Google,875713,5105039,2,90,3,1.901736,8.870331e-09
web-Google,875713,5105039,2,90,4,1.939727,8.870331e-09
web-Google,875713,5105039,2,90,5,2.022088,8.870331e-09
web-Google,875713,5105039,4,90,1,1.512501,8.870327e-09
web-Google,875713,5105039,4,90,2,1.382223,8.870327e-09
web-Google,875713,5105039,4,90,3,1.374425,8.870327e-09
web-Google,875713,5105039,4,90,4,1.663168,8.870327e-09
web-Google,875713,5105039,4,90,5,1.640531,8.870327e-09
web-Google,875713,5105039,8,90,1,1.132200,8.870328e-09
web-Google,875713,5105039,8,90,2,1.084600,8.870328e-09
web-Google,875713,5105039,8,90,3,1.119263,8.870328e-09
web-Google,875713,5105039,8,90,4,1.178724,8.870328e-09
web-Google,875713,5105039,8,90,5,1.230962,8.870328e-09
web-BerkStan,685230,7600595,1,92,1,1.271235,9.253019e-09
web-BerkStan,685230,7600595,1,92,2,1.206226,9.253019e-09
web-BerkStan,685230,7600595,1,92,3,1.206443,9.253019e-09
web-BerkStan,685230,7600595,1,92,4,1.202197,9.253019e-09
web-BerkStan,685230,7600595,1,92,5,1.166643,9.253019e-09
web-BerkStan,685230,7600595,2,92,1,0.720596,9.253019e-09
web-BerkStan,685230,7600595,2,92,2,0.734283,9.253019e-09
web-BerkStan,685230,7600595,2,92,3,0.726134,9.253019e-09
web-BerkStan,685230,7600595,2,92,4,0.706458,9.253019e-09
web-BerkStan,685230,7600595,2,92,5,0.723412,9.253019e-09
web-BerkStan,685230,7600595,4,92,1,0.528830,9.253019e-09
web-BerkStan,685230,7600595,4,92,2,0.482719,9.253019e-09
web-BerkStan,685230,7600595,4,92,3,0.528298,9.253019e-09
web-BerkStan,685230,7600595,4,92,4,0.530379,9.253019e-09
web-BerkStan,685230,7600595,4,92,5,0.535041,9.253019e-09
web-BerkStan,685230,7600595,8,92,1,0.475372,9.253019e-09
web-BerkStan,685230,7600595,8,92,2,0.483902,9.253019e-09
web-BerkStan,685230,7600595,8,92,3,0.480828,9.253019e-09
web-BerkStan,685230,7600595,8,92,4,0.461563,9.253019e-09
web-BerkStan,685230,7600595,8,92,5,0.487890,9.253019e-09
