dataset,nodes,edges,threads,avg_time,speedup,efficiency
web-Stanford,281903,2312497,1,0.554529,1.0000,1.0000
web-Stanford,281903,2312497,2,0.373993,1.4827,0.7414
web-Stanford,281903,2312497,4,0.330006,1.6804,0.4201
web-Stanford,281903,2312497,8,0.254229,2.1812,0.2727
web-Google,875713,5105039,1,2.476523,1.0000,1.0000
web-Google,875713,5105039,2,1.962963,1.2616,0.6308
web-Google,875713,5105039,4,1.514570,1.6351,0.4088
web-Google,875713,5105039,8,1.149150,2.1551,0.2694
web-BerkStan,685230,7600595,1,1.210549,1.0000,1.0000
web-BerkStan,685230,7600595,2,0.722177,1.6763,0.8381
web-BerkStan,685230,7600595,4,0.521053,2.3233,0.5808
web-BerkStan,685230,7600595,8,0.477911,2.5330,0.3166
